a_permno,PERMNO,DATE,CUSIP,NCUSIP,COMNAM,TICKER,PERMCO,SHRCD,SHRCLS,ISSUNO,EXCHCD,HEXCD,SICCD,HSICCD,HSICMG,HSICIG,NAMEENDT,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PRC,VOL,OPENPRC,ASKHI,BIDLO,BID
66093,66093,20000103,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,47.18750,5791500,48.56250,49.00000,46.50000,47.00000
66093,66093,20000104,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.25000,7173500,47.06250,47.75000,43.50000,44.25000
66093,66093,20000105,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.93750,9090000,45.00000,45.25000,44.43750,44.12500
66093,66093,20000106,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,43.75000,7154299,44.56250,45.00000,43.12500,43.50000
66093,66093,20000107,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.12500,5883699,44.56250,44.75000,43.37500,43.75000
66093,66093,20000110,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.75000,7118699,44.75000,45.00000,44.25000,44.00000
66093,66093,20000111,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.12500,6472799,44.68750,44.93750,43.81250,43.75000
66093,66093,20000112,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,41.81250,8920000,43.50000,43.56250,41.50000,41.62500
66093,66093,20000113,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,40.81250,8250000,42.37500,42.93750,40.75000,40.50000
66093,66093,20000114,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,41.93750,9888199,41.25000,41.93750,40.00000,41.62500
66093,66093,20000118,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,41.12500,9824500,42.12500,43.06250,40.87500,40.87500
